Time[s], SCL, SDA
2.46217625, 0, 1
2.46616125, 1, 1
2.466162875, 1, 0
2.4661885, 0, 0
2.4662975, 1, 0
2.466300875, 1, 1
2.466323125, 0, 1
2.466405125, 1, 1
2.46640675, 1, 0
2.466432375, 0, 0
2.4665415, 1, 0
2.466544875, 1, 1
2.466567, 0, 1
2.466649, 1, 1
2.466675375, 0, 1
2.466757375, 1, 1
2.466759875, 1, 0
2.46678475, 0, 0
2.466893875, 1, 0
2.466894875, 1, 1
2.466919375, 0, 1
2.467001375, 1, 1
2.467003875, 1, 0
2.46702875, 0, 0
2.467137875, 1, 0
2.46713875, 1, 1
2.467163375, 0, 1
2.467245375, 1, 1
2.46727175, 0, 1
2.46735375, 1, 1
2.467380125, 0, 1
2.467462125, 1, 1
2.4674885, 0, 1
2.4675705, 1, 1
2.467596875, 0, 1
2.467678875, 1, 1
2.46770525, 0, 1
2.46778725, 1, 1
2.467813625, 0, 1
2.467895625, 1, 1
2.467922125, 0, 1
2.468004125, 1, 1
2.4680305, 0, 1
2.4681125, 1, 1
2.468138875, 0, 1
2.468220875, 1, 1
2.46824725, 0, 1
2.46832925, 1, 1
2.468355625, 0, 1
2.468437625, 1, 1
2.468464125, 0, 1
2.46878675, 0, 0
2.47245125, 1, 0
2.472454625, 1, 1
2.472476875, 0, 1
2.472558875, 1, 1
2.4725605, 1, 0
2.472586, 0, 0
2.472695125, 1, 0
2.4727215, 0, 0
2.472830625, 1, 0
2.472833375, 1, 1
2.472856125, 0, 1
2.472938125, 1, 1
2.4729645, 0, 1
2.4730465, 1, 1
2.47304825, 1, 0
2.47307375, 0, 0
2.473182875, 1, 0
2.47318625, 1, 1
2.473208375, 0, 1
2.4732905, 1, 1
2.473292125, 1, 0
2.473317625, 0, 0
2.47342675, 1, 0
2.47343025, 1, 1
2.473452375, 0, 1
2.473534375, 1, 1
2.47356075, 0, 1
2.47364275, 1, 1
2.473669125, 0, 1
2.473751125, 1, 1
2.4737775, 0, 1
2.4738595, 1, 1
2.473885875, 0, 1
2.473967875, 1, 1
2.47399425, 0, 1
2.47407625, 1, 1
2.474102625, 0, 1
2.474184625, 1, 1
2.474211, 0, 1
2.474293, 1, 1
2.474319375, 0, 1
2.474401375, 1, 1
2.47442775, 0, 1
2.47450975, 1, 1
2.474536125, 0, 1
2.474618125, 1, 1
2.4746445, 0, 1
2.4747265, 1, 1
2.474752875, 0, 1
2.478736125, 1, 1
2.4787365, 1, 0
2.478763375, 0, 0
2.4788725, 1, 0
2.4788745, 1, 1
2.478898, 0, 1
2.47898, 1, 1
2.478980625, 1, 0
2.479007125, 0, 0
